Date,Net_Sales
2023-01-15,641012.5
2023-01-16,495009.07
2023-01-17,326807.45
2023-01-18,348158.62
2023-01-19,392707.67
2023-01-20,577572.83
2023-01-21,679883.3
2023-01-22,565091.91
2023-01-23,358966.12
2023-01-24,367616.99
2023-01-25,376607.23
2023-01-26,403227.34
2023-01-27,579151.61
2023-01-28,680607.62
2023-01-29,533019.04
2023-01-30,366122.52
2023-01-31,364495.73
2023-02-01,377485.4
2023-02-02,414618.17
2023-02-03,578358.3
2023-02-04,687175.77
2023-02-05,545269.13
2023-02-06,329136.82
2023-02-07,318137.23
2023-02-08,352924.83
2023-02-09,364083.23
2023-02-10,557367.72
2023-02-11,666837.65
2023-02-12,401282.13
2023-02-13,362266.5
2023-02-14,532616.86
2023-02-15,364028.33
2023-02-16,416907.17
2023-02-17,615184.84
2023-02-18,702377.35
2023-02-19,610493.93
2023-02-20,469098.57
2023-02-21,331842.49
2023-02-22,359393.14
2023-02-23,396930.09
2023-02-24,587958.09
2023-02-25,698543.96
2023-02-26,576784.12
2023-02-27,375455.87
2023-02-28,351170.7
2023-03-01,377119.6
2023-03-02,401033.04
2023-03-03,571559.26
2023-03-04,671874.85
2023-03-05,596657.58
2023-03-06,362680.22
2023-03-07,351657.94
2023-03-08,385495.26
2023-03-09,420147.47
2023-03-10,611196.59
2023-03-11,687424.51
2023-03-12,609093.29
2023-03-13,415487.56
2023-03-14,433558.8
2023-03-15,462025.74
2023-03-16,478304.93
2023-03-17,642793.12
2023-03-18,741954.72
2023-03-19,664280.71
2023-03-20,423258.22
2023-03-21,412591.22
2023-03-22,400940.51
2023-03-23,407263.0
2023-03-24,584241.0599999999
2023-03-25,687337.28
2023-03-26,619695.6
2023-03-27,377583.21
2023-03-28,364890.74
2023-03-29,408284.72000000003
2023-03-30,420518.77
2023-03-31,588156.11
2023-04-01,651595.91
2023-04-02,579316.67
2023-04-03,393654.94
2023-04-04,367180.77
2023-04-05,389304.58
2023-04-06,466682.98
2023-04-07,641761.42
2023-04-08,665373.51
2023-04-09,471469.17
2023-04-10,388276.91
2023-04-11,343164.71
2023-04-12,361489.53
2023-04-13,424928.17
2023-04-14,580020.02
2023-04-15,630171.85
2023-04-16,551753.17
2023-04-17,361164.29
2023-04-18,348746.59
2023-04-19,360104.23
2023-04-20,396361.91
2023-04-21,520638.63
2023-04-22,625490.33
2023-04-23,611391.3099999999
2023-04-24,382445.02
2023-04-25,363058.38
2023-04-26,396894.56
2023-04-27,414719.72
2023-04-28,561709.29
2023-04-29,645294.07
2023-04-30,577599.23
2023-05-01,368052.69
2023-05-02,360830.18
2023-05-03,368928.62
2023-05-04,417509.41
2023-05-05,497840.27
2023-05-06,619576.08
2023-05-07,582261.46
2023-05-08,363264.12
2023-05-09,369605.97000000003
2023-05-10,398624.83
2023-05-11,398735.28
2023-05-12,537787.58
2023-05-13,642792.27
2023-05-14,546609.22
2023-05-15,384599.04
2023-05-16,370625.27999999997
2023-05-17,371897.72
2023-05-18,412199.15
2023-05-19,567451.11
2023-05-20,617756.87
2023-05-21,582017.68
2023-05-22,422700.35
2023-05-23,395864.0
2023-05-24,408846.52999999997
2023-05-25,438921.22
2023-05-26,574006.21
2023-05-27,586527.42
2023-05-28,579637.56
2023-05-29,520923.38
2023-05-30,370030.05
2023-05-31,393786.13
2023-06-01,410567.05
2023-06-02,535025.61
2023-06-03,562928.55
2023-06-04,558796.83
2023-06-05,392650.96
2023-06-06,376215.14
2023-06-07,393718.98
2023-06-08,398666.76
2023-06-09,546445.09
2023-06-10,593316.75
2023-06-11,571574.75
2023-06-12,387913.0
2023-06-13,368234.17
2023-06-14,413169.81
2023-06-15,428138.1
2023-06-16,559650.48
2023-06-17,580345.0
2023-06-18,530530.96
2023-06-19,441395.06
2023-06-20,368229.57
2023-06-21,401828.66
2023-06-22,422131.53
2023-06-23,549047.13
2023-06-24,579210.2
2023-06-25,538356.98
2023-06-26,379336.6
2023-06-27,359789.69
